Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
wu207,0.216212308516545,0,0,0.00342063384937827,0,0.157438100554493,0,0,0.0480928704276526,0,0.267358897919865,0,0.145494342067234,0.0157576515174009,0,0,0,0.0439634892197845,0.0889129032284201,0,0.0133488026992267,0,0.992,-0.0726782427858329,1.15710798643149
wu208,0.217557888851086,0,0.0708933146906089,0,0.0369206617254039,0.328826527140205,0.0706329831697523,0,0,0,0.0593149766434992,0,0.0336393328944156,0.00431915527338668,0,0,0,0.0263177120195908,0.0945602392027739,0.0570172083892778,0,0,0.924,-0.0276202869076595,1.12154621097238
wu210,0.295167250517356,0,0,0.0791492955926813,0.15356139438104,0,0.148232444129776,0.0456852509393891,0,0,0.117902114228954,0,0.061147475130024,0.0201817262789179,0,0.0309120187126651,0,0.0331804220245261,0,0,0.0148806080646701,0,0.93,-0.0299241860901434,1.12367414084777
wu211,0.0579500967528457,0,0.00539689577260606,0,0.00589131736908155,0.126168939727866,0.0779670600979677,0,0,0,0,0.0399652961076117,0,0.39006055677325,0,0.165106947730435,0,0.0230869132810404,0,0.108405976387295,0,0,0,0.443510824887462,0.917808034599208
wu212,0.343186122283115,0,0,0.0478590385145954,0,0.161336711112348,0.0334461022777653,0,0,0,0.131451519839106,0,0.0432783159900878,0.0315609481057362,0,0.0800425421526967,0,0.0034709931987239,0.10781924591101,0,0.016548460614815,0,0.994,-0.0842016074130773,1.15045234698889
wu214,0.1653630766883,0,0.0262757429795873,0.185968172351815,0,0,0.153246281940127,0,0.113235654516849,0,0,0.0029203122598622,0.0645764166020171,0,0,0.152103576816191,0,0.0585717334909088,0.0520654246789766,0.0114655666671639,0.0142080410082037,0,0.984,-0.0562830878547391,1.09629785813289
wu215,0.0937865323486319,0,0.015262605044703,0.0833020379809004,0.00115421194844483,0.21084542627091,0.0762847861638853,0,0,0,0.16374936906024,0,0.0829470600212119,0.0923224781486782,0,0.0885833043622151,0,0.0369320445115498,0.0220370930575473,0.00489187913550235,0.0279011719455789,0,0.42,0.0781382762983928,1.06857604727393
wu216,0.15992538859478,0,0.0688338742035873,0,0.0362144428963773,0.480414746513161,0.0871635041500202,0,0,0,0,0.00332344516462951,0.0293046279084278,0,0,0,0,0.0254004455967331,0,0.101139417908162,0,0.00828010706412138,0.902,-0.0225233483118316,1.14076588272069
wu217,0.0949065682937517,0,0.0512868537062806,0,0.0633830093819508,0.219135834051287,0.15053595070464,0,0,0,0.119592797104898,0,0.0936262653090191,0,0,0.107684264101419,0,0.0739707897051388,0,0.0258776676416158,0,0,0.522,0.0555150361370298,1.0614061503553
wu218,0.158206448049509,0,0.0487804220797129,0,0.0641843538835291,0.193118920700965,0.0431130292148075,0,0,0,0.107888590191785,0,0.0817370469549686,0.0130990399391989,0,0.0807911757554178,0,0.0388421184160198,0.107839521132543,0,0.0623993336815437,0,0.766,0.0108273198245509,1.07751189152347
